946 10000
FLIP 2 521
FLIP 1 886
FLIP 2 672
AND 1 2
FLIP 1 874
AND 1 2
SET 1 10
AND 2 1
OR 1 2
AND 2 1
SET 2 77
OR 2 1
SET 2 144
SET 1 618
FLIP 2 287
FLIP 1 864
FLIP 2 187
FLIP 1 131
XOR 2 1
FLIP 2 362
AND 2 1
FLIP 1 161
XOR 1 2
SET 1 605
SET 2 767
OR 2 1
XOR 2 1
FLIP 2 186
SET 2 513
FLIP 2 256
XOR 1 2
OR 2 1
FLIP 1 248
XOR 2 1
AND 2 1
OR 1 2
XOR 1 2
OR 2 1
XOR 2 1
OR 1 2
SET 2 641
AND 2 1
OR 2 1
FLIP 1 375
AND 2 1
AND 1 2
FLIP 1 260
SET 1 31
OR 1 2
XOR 1 2
SET 1 129
AND 2 1
AND 1 2
OR 1 2
XOR 2 1
OR 2 1
SET 2 923
XOR 1 2
FLIP 2 178
SET 1 179
AND 2 1
AND 2 1
XOR 1 2
SET 1 50
AND 2 1
OR 1 2
OR 2 1
SET 1 286
OR 1 2
FLIP 2 728
XOR 1 2
FLIP 2 598
SET 2 340
OR 2 1
SET 1 577
FLIP 2 751
SET 2 160
FLIP 2 810
OR 2 1
SET 1 283
FLIP 2 507
FLIP 2 124
OR 1 2
FLIP 2 54
OR 1 2
XOR 1 2
AND 1 2
AND 1 2
FLIP 2 570
OR 2 1
XOR 1 2
FLIP 2 644
AND 1 2
FLIP 2 42
SET 1 27
OR 1 2
XOR 1 2
OR 1 2
OR 2 1
AND 2 1
FLIP 2 182
AND 1 2
XOR 1 2
XOR 1 2
FLIP 2 44
FLIP 1 160
OR 2 1
OR 1 2
OR 1 2
SET 1 532
SET 1 407
OR 2 1
SET 2 603
FLIP 1 931
SET 2 942
XOR 1 2
SET 1 135
SET 2 377
AND 1 2
SET 1 304
SET 2 705
XOR 2 1
SET 2 904
FLIP 2 681
OR 1 2
OR 1 2
AND 2 1
FLIP 1 561
FLIP 2 250
SET 1 903
SET 2 425
FLIP 1 455
AND 1 2
SET 1 418
OR 2 1
SET 1 827
OR 2 1
SET 1 338
SET 2 628
AND 2 1
AND 2 1
OR 2 1
FLIP 2 204
SET 2 112
AND 1 2
XOR 2 1
SET 2 237
AND 2 1
XOR 1 2
FLIP 2 760
XOR 1 2
SET 2 175
OR 2 1
SET 1 670
XOR 1 2
AND 2 1
OR 1 2
SET 1 437
SET 2 528
FLIP 2 373
OR 1 2
FLIP 2 676
OR 1 2
OR 2 1
XOR 1 2
SET 2 20
SET 1 277
OR 1 2
XOR 1 2
XOR 1 2
OR 1 2
SET 1 68
FLIP 2 156
FLIP 1 297
FLIP 1 314
AND 1 2
XOR 1 2
AND 1 2
OR 1 2
OR 1 2
AND 1 2
FLIP 1 711
FLIP 1 178
FLIP 1 566
FLIP 1 618
FLIP 2 801
XOR 1 2
FLIP 2 445
SET 1 43
XOR 2 1
XOR 2 1
XOR 2 1
OR 1 2
SET 2 395
AND 1 2
SET 2 57
AND 2 1
AND 2 1
OR 2 1
OR 2 1
OR 1 2
FLIP 1 8
XOR 1 2
XOR 2 1
XOR 2 1
FLIP 2 661
SET 2 657
FLIP 2 634
SET 2 70
XOR 2 1
OR 1 2
FLIP 2 507
XOR 2 1
FLIP 1 673
XOR 2 1
AND 2 1
FLIP 1 794
XOR 1 2
OR 1 2
XOR 1 2
XOR 1 2
AND 2 1
SET 2 934
XOR 1 2
FLIP 2 371
FLIP 1 677
OR 1 2
XOR 1 2
FLIP 2 552
XOR 2 1
SET 1 519
SET 1 886
XOR 2 1
AND 2 1
OR 1 2
SET 2 887
SET 2 627
FLIP 2 362
OR 2 1
FLIP 2 439
OR 2 1
OR 2 1
OR 1 2
AND 1 2
OR 1 2
SET 1 824
SET 1 411
FLIP 2 316
AND 2 1
AND 2 1
AND 1 2
XOR 2 1
FLIP 2 601
AND 1 2
OR 1 2
AND 1 2
FLIP 1 351
OR 1 2
OR 2 1
AND 2 1
AND 1 2
SET 1 255
SET 1 666
XOR 2 1
FLIP 1 443
OR 2 1
XOR 1 2
FLIP 1 106
FLIP 1 7
XOR 2 1
OR 2 1
XOR 2 1
XOR 2 1
OR 1 2
SET 2 524
OR 1 2
XOR 2 1
SET 1 259
OR 1 2
XOR 1 2
AND 2 1
AND 1 2
AND 2 1
AND 1 2
OR 2 1
AND 2 1
FLIP 2 568
AND 1 2
AND 1 2
FLIP 1 641
OR 1 2
SET 2 402
AND 1 2
FLIP 1 191
AND 2 1
OR 2 1
FLIP 1 194
FLIP 2 542
SET 1 348
OR 1 2
OR 1 2
XOR 1 2
AND 2 1
OR 1 2
SET 2 93
FLIP 1 893
SET 1 46
OR 2 1
XOR 2 1
FLIP 2 321
FLIP 2 356
FLIP 2 191
OR 1 2
FLIP 2 30
SET 1 106
AND 1 2
OR 1 2
AND 2 1
SET 2 236
XOR 2 1
OR 2 1
AND 2 1
FLIP 2 322
OR 2 1
FLIP 1 821
AND 2 1
OR 2 1
OR 2 1
XOR 2 1
XOR 1 2
OR 1 2
FLIP 1 727
XOR 2 1
XOR 2 1
FLIP 2 480
AND 2 1
FLIP 2 440
SET 1 505
FLIP 1 562
FLIP 1 916
XOR 2 1
OR 1 2
AND 2 1
SET 2 544
SET 1 893
OR 1 2
AND 1 2
XOR 1 2
XOR 2 1
SET 1 918
OR 2 1
SET 1 866
AND 2 1
XOR 1 2
FLIP 1 339
AND 1 2
AND 2 1
FLIP 2 673
FLIP 2 317
OR 2 1
OR 1 2
XOR 2 1
AND 2 1
FLIP 2 849
AND 1 2
OR 1 2
OR 2 1
SET 1 260
SET 2 281
FLIP 2 912
OR 1 2
XOR 1 2
AND 1 2
SET 1 774
OR 2 1
OR 2 1
AND 2 1
SET 1 101
XOR 2 1
OR 2 1
OR 2 1
FLIP 2 539
XOR 1 2
OR 1 2
FLIP 2 351
FLIP 1 332
OR 1 2
AND 1 2
SET 2 3
SET 2 668
SET 1 771
OR 2 1
XOR 2 1
SET 1 661
SET 2 297
SET 2 167
SET 1 337
FLIP 1 603
AND 2 1
XOR 2 1
OR 2 1
OR 1 2
SET 2 566
SET 1 447
SET 1 207
SET 1 885
AND 2 1
XOR 2 1
XOR 2 1
AND 1 2
XOR 1 2
SET 1 149
XOR 1 2
SET 1 855
XOR 2 1
FLIP 2 568
SET 1 430
XOR 2 1
SET 1 38
AND 1 2
OR 1 2
SET 2 138
SET 1 906
FLIP 2 435
AND 1 2
SET 1 118
FLIP 2 182
SET 2 738
SET 1 290
FLIP 2 415
SET 2 599
XOR 2 1
AND 2 1
FLIP 1 885
SET 2 663
OR 2 1
AND 2 1
FLIP 2 616
SET 2 746
XOR 1 2
AND 1 2
FLIP 2 511
XOR 1 2
SET 1 284
OR 2 1
AND 1 2
OR 1 2
AND 2 1
XOR 2 1
FLIP 1 833
SET 1 636
AND 2 1
SET 2 46
OR 1 2
SET 2 504
AND 2 1
AND 1 2
XOR 2 1
OR 1 2
SET 2 663
FLIP 1 49
XOR 1 2
FLIP 2 94
XOR 2 1
SET 1 945
AND 1 2
XOR 2 1
SET 2 800
AND 1 2
OR 2 1
AND 2 1
OR 2 1
OR 1 2
SET 1 151
FLIP 1 894
FLIP 1 698
XOR 1 2
SET 1 825
AND 1 2
XOR 2 1
FLIP 2 313
XOR 2 1
AND 2 1
XOR 1 2
SET 2 442
AND 2 1
XOR 1 2
AND 1 2
AND 2 1
FLIP 1 112
AND 1 2
AND 1 2
SET 2 810
SET 1 817
AND 1 2
XOR 2 1
FLIP 1 415
XOR 2 1
FLIP 1 547
AND 2 1
FLIP 2 723
FLIP 2 156
OR 2 1
OR 1 2
OR 2 1
XOR 2 1
FLIP 2 165
XOR 2 1
FLIP 1 937
OR 1 2
XOR 1 2
OR 2 1
SET 1 696
XOR 2 1
FLIP 1 691
XOR 2 1
OR 2 1
XOR 1 2
OR 2 1
FLIP 1 702
AND 1 2
AND 2 1
XOR 2 1
FLIP 2 85
XOR 1 2
SET 1 504
FLIP 2 586
FLIP 2 406
SET 2 119
XOR 2 1
XOR 1 2
SET 2 359
XOR 1 2
SET 2 232
AND 2 1
SET 1 193
OR 1 2
XOR 1 2
SET 2 52
XOR 1 2
OR 2 1
XOR 2 1
AND 1 2
FLIP 2 776
OR 1 2
SET 1 813
AND 2 1
FLIP 1 116
XOR 1 2
AND 1 2
OR 1 2
SET 2 55
OR 2 1
XOR 2 1
XOR 2 1
AND 1 2
OR 2 1
OR 2 1
SET 1 149
XOR 1 2
SET 2 789
XOR 1 2
XOR 2 1
OR 1 2
SET 1 618
OR 2 1
XOR 2 1
OR 2 1
SET 2 646
XOR 2 1
OR 1 2
FLIP 2 871
FLIP 1 160
OR 1 2
FLIP 1 76
SET 1 923
XOR 2 1
FLIP 1 477
AND 2 1
SET 2 227
OR 2 1
AND 2 1
FLIP 1 656
XOR 1 2
AND 2 1
XOR 2 1
FLIP 2 695
SET 1 170
AND 1 2
XOR 2 1
SET 1 78
XOR 2 1
SET 1 451
OR 2 1
FLIP 2 526
AND 2 1
XOR 1 2
FLIP 1 482
SET 2 849
XOR 2 1
SET 1 435
XOR 2 1
AND 2 1
OR 2 1
FLIP 2 731
XOR 1 2
SET 2 629
FLIP 2 923
SET 2 946
SET 1 352
FLIP 2 559
SET 2 381
FLIP 1 797
FLIP 2 216
AND 1 2
SET 2 288
FLIP 1 84
OR 2 1
OR 1 2
AND 1 2
OR 1 2
AND 2 1
OR 2 1
AND 2 1
SET 1 317
AND 2 1
OR 2 1
FLIP 1 907
AND 2 1
SET 1 739
SET 1 938
AND 1 2
AND 1 2
XOR 2 1
SET 1 698
OR 2 1
OR 2 1
SET 1 44
AND 1 2
AND 1 2
SET 1 344
OR 2 1
XOR 1 2
FLIP 2 909
OR 1 2
OR 2 1
SET 2 731
AND 1 2
AND 2 1
SET 2 793
FLIP 1 690
OR 2 1
AND 1 2
FLIP 1 821
AND 1 2
SET 1 328
SET 2 601
OR 2 1
XOR 2 1
SET 1 498
XOR 2 1
FLIP 2 579
XOR 2 1
XOR 2 1
XOR 2 1
AND 1 2
OR 2 1
AND 1 2
SET 2 173
OR 2 1
AND 1 2
FLIP 2 653
SET 2 341
SET 1 612
FLIP 2 930
OR 1 2
SET 1 824
XOR 1 2
XOR 2 1
FLIP 1 144
SET 1 542
OR 2 1
OR 1 2
OR 2 1
XOR 2 1
AND 2 1
XOR 1 2
XOR 1 2
AND 2 1
AND 1 2
FLIP 2 712
AND 1 2
FLIP 2 156
OR 1 2
OR 1 2
FLIP 1 80
XOR 2 1
AND 1 2
OR 2 1
XOR 1 2
AND 1 2
FLIP 2 820
AND 2 1
OR 1 2
AND 1 2
AND 1 2
AND 2 1
SET 2 752
OR 1 2
XOR 2 1
AND 2 1
AND 1 2
SET 1 776
XOR 1 2
SET 1 745
FLIP 2 793
SET 2 83
SET 1 619
AND 2 1
SET 1 395
XOR 2 1
AND 1 2
SET 1 677
OR 1 2
FLIP 1 128
FLIP 2 57
AND 2 1
AND 2 1
OR 2 1
FLIP 1 188
AND 1 2
AND 2 1
XOR 2 1
XOR 2 1
SET 2 519
FLIP 2 372
XOR 2 1
FLIP 2 557
XOR 2 1
FLIP 2 34
OR 1 2
SET 2 408
SET 2 567
OR 2 1
SET 1 396
XOR 1 2
XOR 1 2
SET 1 371
FLIP 1 910
SET 1 851
FLIP 1 758
SET 2 341
XOR 1 2
OR 2 1
AND 2 1
AND 2 1
AND 2 1
XOR 2 1
XOR 2 1
AND 2 1
SET 2 531
FLIP 2 770
FLIP 2 325
OR 2 1
FLIP 2 321
XOR 1 2
XOR 2 1
XOR 2 1
XOR 2 1
OR 2 1
AND 2 1
FLIP 1 915
XOR 1 2
SET 1 827
SET 1 528
XOR 2 1
XOR 2 1
FLIP 1 756
XOR 2 1
XOR 2 1
SET 2 228
XOR 2 1
OR 1 2
FLIP 2 539
XOR 1 2
AND 2 1
XOR 2 1
XOR 1 2
FLIP 1 314
XOR 2 1
AND 1 2
XOR 2 1
SET 2 434
AND 1 2
OR 1 2
FLIP 1 590
XOR 1 2
FLIP 1 82
FLIP 1 182
FLIP 2 42
AND 1 2
SET 2 681
OR 1 2
AND 1 2
OR 2 1
FLIP 1 774
OR 1 2
FLIP 1 188
AND 1 2
OR 2 1
AND 2 1
SET 1 898
FLIP 2 783
AND 1 2
SET 1 314
FLIP 2 306
SET 2 519
XOR 1 2
XOR 2 1
OR 2 1
AND 2 1
SET 1 505
FLIP 2 718
XOR 1 2
FLIP 1 190
XOR 1 2
AND 2 1
OR 1 2
SET 2 524
XOR 1 2
OR 1 2
OR 1 2
AND 2 1
XOR 1 2
OR 1 2
FLIP 1 267
SET 1 636
XOR 2 1
OR 1 2
OR 1 2
FLIP 1 364
OR 1 2
AND 2 1
FLIP 2 444
AND 1 2
XOR 2 1
OR 1 2
AND 2 1
OR 1 2
XOR 1 2
AND 2 1
AND 1 2
XOR 2 1
SET 1 805
SET 1 753
XOR 1 2
XOR 1 2
AND 2 1
SET 1 177
SET 2 842
AND 1 2
AND 1 2
FLIP 1 753
XOR 2 1
XOR 2 1
OR 2 1
AND 2 1
SET 2 171
SET 1 210
SET 1 815
AND 1 2
SET 1 611
SET 2 780
XOR 1 2
FLIP 2 537
SET 2 892
AND 1 2
SET 2 617
XOR 2 1
XOR 2 1
FLIP 2 377
SET 1 479
FLIP 2 681
FLIP 1 536
OR 2 1
AND 2 1
AND 1 2
FLIP 2 420
FLIP 2 533
XOR 2 1
XOR 2 1
SET 2 88
XOR 1 2
AND 2 1
AND 2 1
AND 1 2
AND 1 2
XOR 2 1
SET 1 83
XOR 1 2
OR 1 2
SET 1 265
AND 1 2
XOR 2 1
XOR 2 1
SET 2 19
FLIP 1 137
XOR 2 1
OR 2 1
AND 2 1
OR 1 2
XOR 2 1
FLIP 1 203
XOR 1 2
FLIP 2 896
SET 2 145
SET 1 799
XOR 1 2
FLIP 1 660
OR 1 2
FLIP 1 841
XOR 1 2
OR 1 2
FLIP 1 496
SET 1 600
AND 2 1
AND 2 1
SET 1 215
OR 2 1
AND 1 2
FLIP 1 123
FLIP 2 585
OR 2 1
XOR 1 2
OR 2 1
SET 2 737
OR 1 2
AND 1 2
OR 2 1
AND 1 2
FLIP 2 755
FLIP 1 913
AND 1 2
OR 2 1
SET 1 56
XOR 1 2
SET 1 411
XOR 2 1
SET 1 602
SET 1 644
AND 2 1
XOR 1 2
XOR 2 1
FLIP 1 624
OR 2 1
OR 2 1
AND 2 1
SET 2 594
XOR 1 2
FLIP 2 560
AND 2 1
FLIP 1 759
AND 1 2
FLIP 1 116
SET 2 621
OR 2 1
XOR 1 2
XOR 1 2
OR 1 2
FLIP 2 198
XOR 2 1
FLIP 1 369
SET 2 38
SET 1 525
SET 2 270
XOR 1 2
FLIP 1 786
XOR 2 1
OR 1 2
OR 2 1
OR 1 2
AND 2 1
FLIP 2 52
FLIP 1 663
AND 2 1
OR 2 1
FLIP 1 705
OR 1 2
XOR 2 1
OR 1 2
FLIP 2 781
AND 2 1
SET 2 38
SET 2 744
OR 2 1
AND 2 1
XOR 1 2
SET 1 860
AND 1 2
OR 1 2
SET 1 131
XOR 2 1
SET 1 702
OR 2 1
FLIP 1 95
FLIP 2 888
AND 1 2
OR 2 1
XOR 2 1
XOR 2 1
XOR 2 1
XOR 1 2
XOR 1 2
OR 2 1
SET 1 162
OR 2 1
FLIP 2 901
XOR 2 1
AND 2 1
SET 1 662
SET 2 438
OR 2 1
FLIP 2 6
FLIP 2 96
AND 1 2
AND 1 2
AND 1 2
OR 1 2
FLIP 1 243
FLIP 2 551
OR 1 2
XOR 1 2
XOR 1 2
XOR 1 2
FLIP 2 521
OR 1 2
FLIP 1 192
SET 1 388
FLIP 2 625
OR 2 1
FLIP 1 296
OR 1 2
AND 1 2
AND 2 1
AND 1 2
OR 1 2
OR 2 1
XOR 2 1
FLIP 2 761
AND 2 1
SET 2 440
FLIP 1 611
SET 1 741
AND 1 2
FLIP 1 865
FLIP 2 174
SET 2 61
AND 2 1
XOR 1 2
SET 2 113
SET 2 927
AND 2 1
XOR 2 1
OR 2 1
FLIP 1 852
AND 2 1
AND 2 1
FLIP 1 111
OR 2 1
XOR 1 2
FLIP 1 706
SET 2 380
SET 1 515
FLIP 1 385
XOR 2 1
OR 2 1
XOR 1 2
OR 2 1
SET 2 415
FLIP 1 469
XOR 1 2
SET 2 575
OR 2 1
SET 2 479
AND 1 2
FLIP 2 644
SET 1 112
XOR 2 1
SET 2 19
XOR 2 1
AND 2 1
AND 1 2
AND 1 2
OR 2 1
SET 2 213
XOR 2 1
OR 1 2
SET 1 40
FLIP 1 135
AND 1 2
OR 2 1
SET 2 562
AND 1 2
SET 2 176
SET 1 609
FLIP 2 844
FLIP 2 615
XOR 1 2
SET 2 304
FLIP 1 378
XOR 2 1
OR 2 1
AND 1 2
XOR 2 1
XOR 2 1
SET 2 312
FLIP 2 81
FLIP 1 926
SET 1 337
AND 1 2
OR 2 1
FLIP 1 115
FLIP 2 116
SET 1 300
SET 1 311
SET 2 886
FLIP 2 176
FLIP 1 604
SET 2 475
OR 2 1
XOR 2 1
XOR 2 1
FLIP 1 219
OR 2 1
SET 1 865
FLIP 2 722
OR 2 1
FLIP 2 373
OR 1 2
OR 1 2
XOR 2 1
FLIP 1 273
AND 2 1
AND 2 1
XOR 2 1
FLIP 1 362
AND 2 1
OR 2 1
AND 1 2
OR 2 1
OR 1 2
XOR 1 2
SET 1 797
SET 1 235
AND 1 2
SET 1 423
OR 1 2
XOR 1 2
FLIP 2 292
SET 1 177
OR 2 1
SET 1 255
FLIP 2 382
XOR 1 2
OR 1 2
FLIP 1 546
AND 1 2
SET 2 58
SET 2 646
XOR 2 1
XOR 1 2
OR 2 1
XOR 2 1
SET 1 862
XOR 2 1
FLIP 1 346
OR 1 2
SET 1 722
SET 1 856
FLIP 1 357
OR 2 1
XOR 1 2
FLIP 1 2
SET 2 37
XOR 2 1
SET 1 876
AND 2 1
XOR 2 1
OR 1 2
SET 2 514
SET 1 489
XOR 2 1
XOR 2 1
AND 1 2
SET 1 382
AND 2 1
XOR 1 2
SET 2 889
AND 2 1
AND 1 2
SET 1 677
OR 1 2
AND 1 2
FLIP 1 156
OR 2 1
SET 2 276
AND 1 2
AND 2 1
AND 1 2
XOR 2 1
SET 2 417
SET 1 76
AND 1 2
FLIP 2 229
AND 2 1
SET 2 607
OR 1 2
SET 1 867
OR 2 1
SET 2 556
OR 2 1
FLIP 1 223
FLIP 1 807
OR 2 1
FLIP 2 471
OR 1 2
AND 2 1
SET 1 944
SET 1 753
FLIP 1 298
XOR 1 2
OR 2 1
SET 2 254
AND 1 2
FLIP 1 142
XOR 2 1
AND 1 2
XOR 2 1
FLIP 1 843
SET 1 1
AND 1 2
SET 1 45
AND 2 1
FLIP 1 562
SET 1 910
AND 2 1
AND 1 2
FLIP 2 945
AND 1 2
OR 1 2
XOR 2 1
XOR 1 2
SET 2 213
OR 2 1
OR 2 1
XOR 1 2
AND 1 2
AND 2 1
OR 1 2
OR 2 1
FLIP 2 846
OR 1 2
XOR 2 1
FLIP 1 220
SET 1 229
FLIP 1 47
AND 1 2
OR 2 1
OR 2 1
XOR 2 1
FLIP 1 777
FLIP 1 811
XOR 2 1
XOR 1 2
OR 1 2
FLIP 2 779
FLIP 2 703
SET 1 744
FLIP 2 437
XOR 1 2
FLIP 1 632
XOR 1 2
FLIP 1 285
OR 2 1
XOR 1 2
AND 1 2
OR 1 2
AND 1 2
FLIP 2 185
SET 2 869
OR 1 2
FLIP 2 268
XOR 2 1
OR 2 1
AND 1 2
FLIP 1 236
OR 2 1
OR 1 2
SET 2 655
AND 1 2
AND 2 1
AND 2 1
XOR 2 1
SET 2 47
XOR 2 1
OR 1 2
AND 1 2
SET 2 55
FLIP 2 23
FLIP 1 907
SET 1 209
OR 2 1
SET 1 700
OR 2 1
FLIP 2 227
XOR 2 1
AND 1 2
XOR 2 1
XOR 2 1
AND 1 2
AND 1 2
FLIP 2 52
FLIP 2 386
AND 1 2
XOR 1 2
SET 2 717
XOR 1 2
AND 1 2
XOR 1 2
AND 2 1
XOR 2 1
AND 1 2
SET 2 548
SET 2 923
XOR 2 1
SET 1 859
FLIP 2 114
OR 2 1
AND 1 2
FLIP 1 340
AND 2 1
XOR 2 1
FLIP 2 463
OR 2 1
FLIP 2 221
OR 1 2
SET 1 248
AND 1 2
SET 2 824
AND 1 2
OR 2 1
SET 1 611
SET 2 610
FLIP 2 297
OR 1 2
FLIP 1 660
XOR 2 1
OR 2 1
FLIP 2 226
XOR 1 2
XOR 2 1
OR 2 1
FLIP 1 470
SET 1 585
OR 2 1
SET 2 597
XOR 1 2
FLIP 1 208
AND 2 1
FLIP 2 84
OR 2 1
FLIP 1 437
AND 2 1
XOR 2 1
XOR 1 2
AND 1 2
OR 2 1
AND 1 2
SET 1 500
SET 1 427
SET 1 258
OR 2 1
OR 2 1
XOR 2 1
OR 1 2
FLIP 2 448
FLIP 2 692
OR 2 1
OR 1 2
SET 1 330
AND 1 2
FLIP 1 548
XOR 1 2
FLIP 2 392
AND 1 2
FLIP 1 677
XOR 2 1
AND 1 2
AND 2 1
OR 1 2
AND 1 2
FLIP 2 184
FLIP 2 757
XOR 2 1
FLIP 1 44
SET 2 424
SET 1 871
FLIP 2 438
SET 1 747
XOR 1 2
SET 1 472
FLIP 1 528
OR 2 1
SET 2 885
OR 1 2
XOR 1 2
SET 1 542
OR 1 2
AND 2 1
OR 1 2
XOR 2 1
AND 2 1
XOR 2 1
OR 1 2
SET 1 929
SET 2 281
OR 2 1
AND 1 2
FLIP 1 605
FLIP 1 48
AND 1 2
SET 1 87
AND 2 1
SET 1 933
FLIP 2 633
SET 1 106
XOR 2 1
SET 2 206
FLIP 2 908
AND 1 2
XOR 1 2
SET 1 184
OR 2 1
OR 2 1
FLIP 1 324
FLIP 1 787
OR 2 1
SET 1 750
SET 1 883
SET 1 487
OR 2 1
XOR 2 1
XOR 2 1
SET 2 19
FLIP 1 687
SET 2 792
OR 2 1
AND 2 1
SET 1 871
XOR 1 2
SET 1 160
AND 2 1
SET 1 408
OR 1 2
AND 2 1
OR 2 1
XOR 2 1
XOR 2 1
OR 1 2
OR 2 1
XOR 2 1
OR 2 1
FLIP 1 39
AND 1 2
AND 2 1
OR 2 1
OR 2 1
XOR 1 2
FLIP 2 704
AND 1 2
AND 2 1
FLIP 1 298
XOR 1 2
XOR 1 2
XOR 1 2
FLIP 2 661
AND 1 2
OR 2 1
SET 1 546
FLIP 1 774
OR 1 2
OR 1 2
OR 1 2
OR 1 2
FLIP 1 390
OR 1 2
OR 1 2
SET 1 515
AND 2 1
XOR 1 2
XOR 2 1
XOR 2 1
FLIP 2 131
FLIP 2 394
XOR 2 1
FLIP 2 773
AND 2 1
XOR 2 1
OR 1 2
FLIP 2 201
OR 2 1
AND 1 2
OR 1 2
AND 1 2
SET 2 32
FLIP 1 380
FLIP 1 365
AND 2 1
AND 1 2
SET 2 715
FLIP 1 95
SET 2 892
AND 2 1
AND 2 1
XOR 2 1
FLIP 1 446
FLIP 2 275
SET 1 402
SET 2 518
XOR 1 2
SET 1 460
XOR 1 2
SET 2 414
OR 1 2
FLIP 1 748
XOR 2 1
SET 1 800
OR 1 2
FLIP 2 435
XOR 1 2
SET 1 936
FLIP 1 346
OR 1 2
SET 2 397
FLIP 2 763
AND 2 1
SET 2 329
SET 2 660
OR 1 2
XOR 1 2
FLIP 2 724
AND 1 2
AND 1 2
FLIP 2 495
XOR 1 2
XOR 1 2
AND 2 1
XOR 1 2
AND 2 1
SET 1 366
XOR 1 2
AND 1 2
SET 1 544
SET 2 509
OR 1 2
OR 2 1
XOR 2 1
SET 2 928
XOR 1 2
AND 2 1
OR 1 2
XOR 2 1
FLIP 2 642
OR 1 2
FLIP 2 155
SET 1 796
SET 2 270
AND 1 2
SET 2 874
XOR 1 2
AND 1 2
AND 1 2
AND 2 1
AND 2 1
FLIP 1 705
AND 2 1
XOR 2 1
AND 2 1
AND 2 1
OR 2 1
OR 1 2
AND 1 2
SET 1 698
OR 1 2
SET 1 633
SET 1 36
FLIP 1 394
OR 1 2
FLIP 2 720
AND 1 2
OR 1 2
XOR 2 1
AND 2 1
XOR 1 2
FLIP 2 872
FLIP 2 270
FLIP 1 646
SET 2 911
AND 2 1
SET 2 639
SET 1 52
SET 1 811
XOR 1 2
SET 2 71
AND 2 1
OR 2 1
SET 2 425
FLIP 2 73
OR 1 2
AND 2 1
FLIP 2 792
SET 1 185
XOR 2 1
SET 1 615
FLIP 2 850
OR 1 2
SET 1 66
SET 1 255
XOR 1 2
FLIP 1 238
AND 2 1
XOR 2 1
FLIP 1 909
FLIP 2 717
AND 1 2
OR 2 1
AND 2 1
FLIP 1 113
AND 1 2
OR 1 2
XOR 1 2
AND 2 1
XOR 1 2
SET 1 494
SET 2 585
SET 2 218
AND 2 1
OR 1 2
OR 2 1
OR 2 1
AND 1 2
SET 2 511
OR 2 1
AND 2 1
FLIP 1 49
XOR 2 1
FLIP 1 526
XOR 2 1
XOR 2 1
FLIP 2 801
SET 2 887
SET 1 501
AND 2 1
FLIP 2 868
XOR 1 2
AND 2 1
FLIP 1 84
AND 1 2
XOR 1 2
FLIP 1 115
XOR 1 2
OR 2 1
OR 2 1
SET 2 858
FLIP 2 1
FLIP 1 229
AND 1 2
SET 1 101
XOR 2 1
AND 2 1
OR 2 1
OR 1 2
FLIP 2 699
OR 1 2
FLIP 1 427
SET 2 815
OR 1 2
FLIP 2 588
SET 2 77
FLIP 2 338
FLIP 2 313
OR 2 1
OR 2 1
SET 2 28
SET 2 384
SET 2 200
OR 1 2
AND 2 1
AND 1 2
OR 1 2
XOR 1 2
SET 2 417
FLIP 1 302
AND 2 1
OR 1 2
FLIP 2 196
OR 1 2
XOR 2 1
OR 1 2
FLIP 2 336
XOR 2 1
OR 2 1
SET 1 42
OR 1 2
AND 2 1
XOR 2 1
AND 2 1
OR 1 2
OR 1 2
SET 1 213
XOR 1 2
SET 2 488
SET 1 661
FLIP 2 41
SET 2 566
XOR 2 1
AND 2 1
OR 2 1
AND 2 1
OR 2 1
SET 2 589
FLIP 1 68
FLIP 1 572
XOR 1 2
AND 1 2
XOR 2 1
SET 1 96
FLIP 2 258
FLIP 1 167
OR 1 2
SET 2 30
SET 1 25
AND 1 2
FLIP 2 625
OR 2 1
FLIP 2 909
OR 1 2
OR 2 1
FLIP 1 180
SET 1 777
XOR 1 2
AND 2 1
SET 1 7
SET 1 84
AND 1 2
XOR 1 2
XOR 1 2
AND 1 2
OR 2 1
XOR 1 2
SET 2 832
AND 1 2
SET 1 269
SET 1 725
AND 1 2
FLIP 2 869
AND 1 2
OR 1 2
XOR 1 2
SET 2 861
AND 1 2
AND 2 1
AND 2 1
SET 1 749
XOR 2 1
XOR 1 2
OR 2 1
SET 1 683
FLIP 1 866
OR 1 2
SET 2 514
XOR 1 2
XOR 2 1
AND 2 1
OR 2 1
SET 2 756
XOR 1 2
SET 2 913
XOR 1 2
AND 1 2
FLIP 2 644
SET 1 665
SET 1 532
XOR 2 1
SET 1 773
XOR 2 1
AND 1 2
SET 1 348
SET 1 175
XOR 2 1
SET 2 766
XOR 1 2
OR 1 2
SET 1 731
AND 1 2
XOR 2 1
SET 2 679
AND 2 1
SET 2 551
AND 1 2
XOR 1 2
AND 2 1
XOR 2 1
FLIP 1 649
AND 2 1
OR 2 1
FLIP 1 689
SET 2 212
XOR 2 1
AND 1 2
AND 1 2
SET 1 648
SET 1 830
XOR 2 1
SET 1 686
AND 1 2
SET 1 294
FLIP 2 760
FLIP 1 202
SET 2 908
FLIP 2 522
OR 1 2
XOR 1 2
OR 2 1
AND 1 2
AND 1 2
XOR 2 1
XOR 1 2
AND 1 2
XOR 2 1
XOR 2 1
XOR 1 2
